date,fii_buy,fii_sell,fii_net,dii_buy,dii_sell,dii_net,fii_idx_fut_long,fii_idx_fut_short,fii_idx_fut_net,dii_idx_fut_long,dii_idx_fut_short,dii_idx_fut_net,fii_stk_fut_long,fii_stk_fut_short,fii_stk_fut_net,dii_stk_fut_long,dii_stk_fut_short,dii_stk_fut_net,fii_idx_call_long,fii_idx_call_short,fii_idx_call_net,fii_idx_put_long,fii_idx_put_short,fii_idx_put_net,pcr,sentiment_score,_updated_at,_source,_fao_summary,_fao_columns_repaired
2026-06-04,14012.52,18459.58,-4447.06,16824.35,12464.21,4360.14,28171,292739,-264568,66500,29722,36778,3994648,3305830,688818,352479,4602944,-4250465,514106,788094,-273988,920148,403282,516866,0.51,34.1,,,,1.0
2026-06-05,11044.57,19820.82,-8776.25,22779.32,13645.75,9133.57,25958,293664,-267706,66330,28937,37393,4008540,3307562,700978,360339,4635030,-4274691,591082,867141,-276059,977772,447544,530228,0.52,28.0,,,,1.0
2026-06-08,8842.08,14397.75,-5555.67,16683.18,11517.94,5165.24,24810,302424,-277614,64282,20337,43945,4016575,3316826,699749,362502,4638462,-4275960,672055,965991,-293936,1000213,450778,549435,0.47,31.9,,,,1.0
2026-06-09,14735.47,19301.5,-4566.03,17664.98,11505.5,6159.48,31170,308171,-277001,65697,15637,50060,4046562,3308351,738211,366670,4679063,-4312393,446983,713453,-266470,870166,343108,527058,0.48,33.9,,,,1.0
2026-06-10,14047.79,16172.77,-2124.98,17396.4,14272.45,3123.95,32698,304677,-271979,68620,15031,53589,4058928,3329768,729160,372806,4650791,-4277985,521246,798673,-277427,930475,399488,530987,0.5,38.8,,,,1.0
2026-06-11,14000.58,15987.67,-1987.09,16822.57,12598.06,4224.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-06-12,12064.61,13146.79,-1082.18,18877.03,13535.74,5341.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-06-15,15650.2,15450.15,200.05,21080.9,17891.64,3189.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-06-16,13887.15,14636.33,-749.18,13553.36,13553.3,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-06-17,14806.3,14704.71,101.59,16611.87,15050.47,1561.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-06-18,14611.83,15637.03,-1025.2,16163.18,12646.37,3516.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-06-19,31442.87,26583.8,4859.07,18020.49,19180.13,-1159.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-06-22,10082.08,10717.99,-635.91,17391.78,16356.06,1035.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-06-23,15396.07,15378.21,17.86,16863.04,16182.83,680.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-06-24,16744.73,18588.13,-1843.4,17274.01,13636.75,3637.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-06-25,18988.03,18604.27,383.76,24844.03,19096.28,5747.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-06-29,24754.26,26104.36,-1350.1,55273.85,52472.4,2801.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-06-30,23273.71,25830.46,-2556.75,23432.58,16590.24,6842.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-07-01,11623.31,12763.81,-1140.5,17136.57,13977.33,3159.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-07-02,14018.4,14330.22,-311.82,17391.61,15607.21,1784.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-07-03,13337.33,11982.0,1355.33,18676.35,20630.24,-1953.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-07-06,11686.1,11443.07,243.03,19727.56,15936.14,3791.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-07-07,18414.01,18020.82,393.19,18897.44,19280.87,-383.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
2026-07-08,17463.95,15501.15,1962.8,19165.13,18374.97,790.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,,,,
