date,nifty,vix,ml,fii_dii,options_status,snapshot_available,spot
2025-08-13,True,True,True,False,OK,True,24619.35
2025-08-14,True,True,True,False,OK,True,24631.3
2025-08-18,True,True,True,False,OK,True,24876.95
2025-08-19,True,True,True,False,OK,True,24980.65
2025-08-20,True,True,True,False,OK,True,25050.55
2025-08-21,True,True,True,False,OK,True,25083.75
2025-08-22,True,True,True,False,OK,True,24870.1
2025-08-25,True,True,True,False,OK,True,24967.75
2025-08-26,True,True,True,False,OK,True,24712.05
2025-08-28,True,True,True,False,OK,True,24500.9
2025-08-29,True,True,True,False,OK,True,24426.85
2025-09-01,True,True,True,False,OK,True,24625.05
2025-09-02,True,True,True,False,OK,True,24579.6
2025-09-03,True,True,True,False,OK,True,24715.05
2025-09-04,True,True,True,False,OK,True,24734.3
2025-09-05,True,True,True,False,OK,True,24741.0
2025-09-08,True,True,True,False,OK,True,24773.15
2025-09-09,True,True,True,False,OK,True,24868.6
2025-09-10,True,True,True,False,OK,True,24973.1
2025-09-11,True,True,True,False,OK,True,25005.5
2025-09-12,True,True,True,False,OK,True,25114.0
2025-09-15,True,True,True,False,OK,True,25069.2
2025-09-16,True,True,True,False,OK,True,25239.1
2025-09-17,True,True,True,False,OK,True,25330.25
2025-09-18,True,True,True,False,OK,True,25423.6
2025-09-19,True,True,True,False,OK,True,25327.05
2025-09-22,True,True,True,False,OK,True,25202.35
2025-09-23,True,True,True,False,OK,True,25169.5
2025-09-24,True,True,True,False,OK,True,25056.9
2025-09-25,True,True,True,False,OK,True,24890.85
2025-09-26,True,True,True,False,OK,True,24654.7
2025-09-29,True,True,True,False,OK,True,24634.9
2025-09-30,True,True,True,False,OK,True,24611.1
2025-10-01,True,True,True,False,OK,True,24836.3
2025-10-03,True,True,True,False,OK,True,24894.25
2025-10-06,True,True,True,False,OK,True,25077.65
2025-10-07,True,True,True,False,OK,True,25108.3
2025-10-08,True,True,True,False,OK,True,25046.15
2025-10-09,True,True,True,False,OK,True,25181.8
2025-10-10,True,True,True,False,OK,True,25285.35
2025-10-13,True,True,True,False,OK,True,25227.35
2025-10-14,True,True,True,False,OK,True,25145.5
2025-10-15,True,True,True,False,OK,True,25323.55
2025-10-16,True,True,True,False,OK,True,25585.3
2025-10-17,True,True,True,False,OK,True,25709.85
2025-10-20,True,True,True,False,OK,True,25843.15
2025-10-21,True,True,True,False,OK,True,25868.6
2025-10-23,True,True,True,False,OK,True,25891.4
2025-10-24,True,True,True,False,OK,True,25795.15
2025-10-27,True,True,True,False,OK,True,25966.05
2025-10-28,True,True,True,False,OK,True,25936.2
2025-10-29,True,True,True,False,OK,True,26053.9
2025-10-30,True,True,True,False,OK,True,25877.85
2025-10-31,True,True,True,False,OK,True,25722.1
2025-11-03,True,True,True,False,OK,True,25763.35
2025-11-04,True,True,True,False,OK,True,25597.65
2025-11-06,True,True,True,False,OK,True,25509.7
2025-11-07,True,True,True,False,OK,True,25492.3
2025-11-10,True,True,True,False,OK,True,25574.35
2025-11-11,True,True,True,False,OK,True,25694.95
2025-11-12,True,True,True,False,OK,True,25875.8
2025-11-13,True,True,True,False,OK,True,25879.15
2025-11-14,True,True,True,False,OK,True,25910.05
2025-11-17,True,True,True,False,OK,True,26013.45
2025-11-18,True,True,True,False,OK,True,25910.05
2025-11-19,True,True,True,False,OK,True,26052.65
2025-11-20,True,True,True,False,OK,True,26192.15
2025-11-21,True,True,True,False,OK,True,26068.15
2025-11-24,True,True,True,False,OK,True,25959.5
2025-11-25,True,True,True,False,OK,True,25884.8
2025-11-26,True,True,True,False,OK,True,26205.3
2025-11-27,True,True,True,False,OK,True,26215.55
2025-11-28,True,True,True,False,OK,True,26202.95
2025-12-01,True,True,True,False,OK,True,26175.75
2025-12-02,True,True,True,False,OK,True,26032.2
2025-12-03,True,True,True,False,OK,True,25986.0
2025-12-04,True,True,True,False,OK,True,26033.75
2025-12-05,True,True,True,False,OK,True,26186.45
2025-12-08,True,True,True,False,OK,True,25960.55
2025-12-09,True,True,True,False,OK,True,25839.65
2025-12-10,True,True,True,False,OK,True,25758.0
2025-12-11,True,True,True,False,OK,True,25898.55
2025-12-12,True,True,True,False,OK,True,26046.95
2025-12-15,True,True,True,False,OK,True,26027.3
2025-12-16,True,True,True,False,OK,True,25860.1
2025-12-17,True,True,True,False,OK,True,25818.55
2025-12-18,True,True,True,False,OK,True,25815.55
2025-12-19,True,True,True,False,OK,True,25966.4
2025-12-22,True,True,True,False,OK,True,26172.4
2025-12-23,True,True,True,False,OK,True,26177.15
2025-12-24,True,True,True,False,OK,True,26142.1
2025-12-26,True,True,True,False,OK,True,26042.3
2025-12-29,True,True,True,False,OK,True,25942.1
2025-12-30,True,True,True,False,OK,True,25938.85
2025-12-31,True,True,True,False,OK,True,26129.6
2026-01-01,True,False,True,False,OK,True,26146.55
2026-01-02,True,True,True,False,OK,True,26328.55
2026-01-05,True,True,True,False,OK,True,26250.3
2026-01-06,True,True,True,False,OK,True,26178.7
2026-01-07,True,True,True,False,OK,True,26140.75
2026-01-08,True,True,True,False,OK,True,25876.85
2026-01-09,True,True,True,False,OK,True,25683.3
2026-01-12,True,True,True,False,OK,True,25790.25
2026-01-13,True,True,True,False,OK,True,25732.3
2026-01-14,True,True,True,False,OK,True,25665.6
2026-01-16,True,True,True,False,OK,True,25694.35
