expiry,strike,ce_oi,ce_oi_chg,ce_pct_chg,ce_volume,ce_iv,ce_ltp,ce_buy_qty,ce_sell_qty,pe_oi,pe_oi_chg,pe_pct_chg,pe_volume,pe_iv,pe_ltp,pe_buy_qty,pe_sell_qty
18-Aug-2026,22000,62,22,55.0,26,0.0,2365.0,4355,4290,51862,1680,3.3478139571958074,68655,30.22,0.8,1057225,91585
18-Aug-2026,22050,0,0,0.0,0,0.0,0.0,4940,5070,2877,210,7.874015748031496,12357,29.82,0.85,340860,31265
18-Aug-2026,22100,0,0,0.0,0,0.0,0.0,4940,4290,7120,3166,80.0708143651998,21222,29.4,0.9,317980,21125
18-Aug-2026,22150,0,0,0.0,0,0.0,0.0,4940,5070,618,440,247.19101123595505,2497,28.65,0.85,165165,18005
18-Aug-2026,22200,0,0,0.0,0,0.0,0.0,4940,5070,7956,2542,46.95234577022534,21086,28.22,0.9,111540,33475
18-Aug-2026,22250,0,0,0.0,0,0.0,0.0,4940,5070,487,340,231.2925170068027,1718,27.79,0.95,62465,13390
18-Aug-2026,22300,0,0,0.0,0,0.0,0.0,4940,5070,2248,-57,-2.472885032537961,10753,27.34,1.0,116545,27300
18-Aug-2026,22350,0,0,0.0,0,0.0,0.0,4940,4290,391,80,25.723472668810288,2380,26.89,1.05,67405,19110
18-Aug-2026,22400,0,0,0.0,0,0.0,0.0,4940,5070,2780,1163,71.92331478045764,17117,26.42,1.1,139815,15860
18-Aug-2026,22450,0,0,0.0,0,0.0,0.0,4160,5070,582,386,196.9387755102041,2908,25.83,1.1,79235,17160
18-Aug-2026,22500,100,-1,-0.9900990099009901,1,0.0,1924.0,4420,5070,51939,15429,42.259654889071484,113625,25.91,1.4,265070,121095
18-Aug-2026,22550,0,0,0.0,0,0.0,0.0,4940,4290,510,327,178.68852459016392,4087,25.49,1.5,166075,5330
18-Aug-2026,22600,0,0,0.0,0,0.0,0.0,4940,5070,5154,-539,-9.467767433690497,34513,24.48,1.3,118820,5330
18-Aug-2026,22650,0,0,0.0,0,0.0,0.0,4940,4290,622,458,279.2682926829268,4158,24.53,1.65,77935,8450
18-Aug-2026,22700,0,0,0.0,0,0.0,0.0,4940,4290,5656,737,14.982720065053872,31360,23.74,1.55,75010,8645
18-Aug-2026,22750,0,0,0.0,0,0.0,0.0,4940,4290,785,224,39.928698752228165,5558,22.76,1.35,92365,7540
18-Aug-2026,22800,0,0,0.0,0,0.0,0.0,4940,4290,14543,5811,66.54832798900595,62623,22.67,1.65,91130,18850
18-Aug-2026,22850,0,0,0.0,0,0.0,0.0,4940,5070,1378,603,77.80645161290323,15401,21.89,1.55,77610,10075
18-Aug-2026,22900,0,0,0.0,0,0.0,0.0,4940,4290,4886,921,23.22824716267339,41498,21.43,1.65,83135,21905
18-Aug-2026,22950,0,0,0.0,0,0.0,0.0,4940,4290,1761,701,66.13207547169812,22930,20.81,1.65,80990,29055
18-Aug-2026,23000,657,77,13.275862068965518,138,0.0,1440.9,5785,6045,71431,4612,6.90222840808752,195132,20.47,1.85,340665,357175
18-Aug-2026,23050,0,0,0.0,0,0.0,0.0,5070,4290,2519,1444,134.32558139534885,34701,19.49,1.6,74750,11050
18-Aug-2026,23100,4,0,0.0,0,0.0,0.0,5200,5330,16505,1849,12.615993449781659,70941,19.27,1.9,81380,17940
18-Aug-2026,23150,6,0,0.0,0,0.0,0.0,5200,4355,1650,566,52.2140221402214,43114,18.51,1.8,74165,8190
18-Aug-2026,23200,32,4,14.285714285714286,25,0.0,1202.8,5135,4290,36385,11241,44.706490614063,168082,18.35,2.2,73515,66235
18-Aug-2026,23250,1,-3,-75.0,13,0.0,1144.0,5200,4290,3809,1677,78.65853658536585,83501,17.54,2.05,70005,36205
18-Aug-2026,23300,39,-1,-2.5,1,0.0,1054.05,4420,5265,34293,6140,21.809398643128617,224187,17.11,2.25,219440,23920
18-Aug-2026,23350,4,-1,-20.0,6,0.0,1081.25,5070,4290,7070,3898,122.88776796973518,117063,16.26,2.05,74360,52325
18-Aug-2026,23400,109,25,29.761904761904763,296,0.0,1045.7,5265,5850,27370,4741,20.95099208979628,222327,15.95,2.4,86515,30355
18-Aug-2026,23450,0,0,0.0,0,0.0,0.0,6370,4615,7644,4360,132.76492082825823,103073,15.47,2.6,69420,25285
18-Aug-2026,23500,1669,142,9.299279633267846,1365,0.0,951.0,11895,9100,82715,15870,23.74149151021019,421567,15.08,2.95,459485,348855
18-Aug-2026,23550,25,14,127.27272727272727,55,0.0,916.9,8255,4420,10517,5646,115.91049065900226,124273,14.65,3.3,55640,21385
18-Aug-2026,23600,296,-10,-3.2679738562091503,202,0.0,846.2,12610,6045,38343,10573,38.073460568959305,442554,14.02,3.4,123240,90350
18-Aug-2026,23650,33,17,106.25,53,0.0,804.9,70980,4550,16446,6226,60.91976516634051,256969,13.48,3.65,61035,33020
18-Aug-2026,23700,450,127,39.31888544891641,782,0.0,751.5,108030,7800,46402,18297,65.10229496530866,398729,13.25,4.55,74490,153205
18-Aug-2026,23750,54,28,107.6923076923077,145,0.0,700.3,9490,5850,17187,9948,137.42229589722336,261785,12.73,5.0,39715,73125
18-Aug-2026,23800,990,248,33.42318059299191,2548,0.0,650.35,53560,12545,76027,10953,16.83160709346283,666207,12.41,6.05,1341795,168415
18-Aug-2026,23850,337,70,26.217228464419474,640,0.0,602.1,15275,7995,25753,14475,128.34722468522787,301646,12.02,7.1,54210,69940
18-Aug-2026,23900,3561,931,35.39923954372624,5546,0.0,553.05,20150,11440,71212,17257,31.984060791400243,643568,11.71,8.7,160160,104845
18-Aug-2026,23950,505,312,161.6580310880829,2518,0.0,508.6,18525,13585,22110,10746,94.56177402323125,390301,11.56,11.35,78195,78650
18-Aug-2026,24000,7217,1779,32.71423317396101,55480,0.0,461.55,50440,46605,118869,28841,32.0355889278891,1229884,11.38,14.55,299780,399620
18-Aug-2026,24050,1204,802,199.50248756218906,9745,0.0,413.1,51285,12675,18294,8031,78.25197310727857,477843,11.1,18.0,122850,76050
18-Aug-2026,24100,4947,2072,72.0695652173913,57539,0.0,369.2,70785,21840,50173,19420,63.14831073391214,765883,11.01,23.65,70135,165425
18-Aug-2026,24150,2585,2175,530.4878048780488,44411,4.85,326.45,44980,17160,22822,14275,167.017667017667,554401,10.97,31.0,55250,107250
18-Aug-2026,24200,12871,6159,91.76102502979738,320917,6.92,285.95,76505,81445,72700,18304,33.649533053901024,1337429,10.82,39.25,127920,346645
18-Aug-2026,24250,5420,4183,338.15683104284557,367573,7.55,247.0,80795,43745,38614,17241,80.66719693070696,1221009,10.75,50.1,101465,332605
18-Aug-2026,24300,37171,28959,352.64247442766685,1283886,7.97,211.0,232635,257335,89149,47044,111.73019831373946,2351426,10.83,64.75,441415,613665
18-Aug-2026,24350,23014,20199,717.5488454706928,952776,8.26,177.95,94510,158145,36390,20706,132.01989288446825,1600395,10.81,81.0,95745,263250
18-Aug-2026,24400,94698,66478,235.57051736357192,2050696,8.43,147.6,315120,663715,77320,29251,60.85210842746885,2413660,10.86,100.85,166010,278070
18-Aug-2026,24450,48895,24152,97.61144566139919,1194468,8.61,121.1,122785,550355,22451,-1754,-7.2464366866349925,1129531,10.97,124.4,53690,75595
18-Aug-2026,24500,138939,59904,75.79426836211805,1988153,8.78,98.35,609830,1235390,48315,-17369,-26.443273856646975,1213594,11.04,150.25,301665,157820
18-Aug-2026,24550,44958,21771,93.89312977099236,794109,8.86,77.9,139425,381615,7264,-1339,-15.564338021620365,250853,11.24,180.65,52000,45955
18-Aug-2026,24600,110362,41027,59.17213528520949,1196117,8.89,60.3,243880,922935,25862,-2938,-10.20138888888889,330816,11.4,213.05,60125,56225
18-Aug-2026,24650,38931,13795,54.88144493952896,594233,8.95,46.15,156130,252785,5159,-806,-13.512154233025985,58255,11.58,248.2,11440,17355
18-Aug-2026,24700,91450,17130,23.04897739504844,919907,9.04,35.1,224185,463255,13080,-2117,-13.93038099624926,80751,11.96,287.65,21970,36010
18-Aug-2026,24750,32765,-1172,-3.453457877832454,485627,9.08,25.95,143780,149240,1932,-346,-15.188762071992976,12921,12.49,330.15,10725,17745
18-Aug-2026,24800,87966,22293,33.94545703713855,839722,9.21,19.4,376025,416260,6960,232,3.4482758620689653,26653,12.76,371.35,23270,19370
18-Aug-2026,24850,49614,34250,222.92371778182766,430545,9.25,13.9,89635,81770,592,25,4.409171075837743,3565,13.5,418.0,10270,8840
18-Aug-2026,24900,72322,27541,61.50152966659967,572242,9.43,10.45,133315,202150,5454,-631,-10.36976170912079,8622,13.9,462.4,24960,13520
18-Aug-2026,24950,32823,13340,68.4699481599343,322522,9.63,7.9,82355,110175,547,279,104.1044776119403,1158,14.88,511.9,9165,8775
18-Aug-2026,25000,140925,40807,40.75890449269862,824244,9.98,6.45,522015,533260,6621,-874,-11.661107404936624,10333,15.6,559.75,72085,15210
18-Aug-2026,25050,21842,5328,32.263533971175974,363554,10.16,4.85,64610,62790,564,301,114.44866920152091,593,16.01,605.75,7800,6695
18-Aug-2026,25100,48454,14239,41.61625018266842,573343,10.44,3.85,301340,75140,1272,114,9.844559585492227,737,16.8,654.7,9555,7475
18-Aug-2026,25150,21862,5196,31.177247089883597,512837,10.84,3.3,73385,44200,291,254,686.4864864864865,370,17.89,705.7,5525,5850
18-Aug-2026,25200,66825,8372,14.322618171864574,748981,10.95,2.4,192400,127010,1575,64,4.2356055592322965,645,18.56,754.1,7215,7605
18-Aug-2026,25250,17873,-14248,-44.35727405747019,427809,11.43,2.2,108810,34190,233,232,23200.0,268,19.21,802.6,5070,5460
18-Aug-2026,25300,45874,5934,14.85728592889334,641467,11.76,1.85,536575,181350,574,120,26.431718061674008,272,22.01,864.05,7085,6565
18-Aug-2026,25350,20980,332,1.6079039132119333,358308,12.17,1.65,150475,29705,91,69,313.6363636363636,86,25.44,930.8,4940,5330
18-Aug-2026,25400,40579,373,0.9277222305128587,502294,12.65,1.55,1133275,157885,238,7,3.0303030303030303,59,22.8,957.8,7410,6695
18-Aug-2026,25450,23164,13862,149.0217157600516,116807,13.06,1.4,306280,20995,5,4,400.0,8,20.16,990.7,4940,4355
18-Aug-2026,25500,113165,32953,41.08238168852541,411472,13.57,1.35,1656265,419250,2636,27,1.0348792640858566,271,23.19,1050.7,7150,6760
18-Aug-2026,25550,11804,1800,17.99280287884846,65436,13.86,1.15,448760,44980,0,0,0.0,0,0.0,0.0,4160,5070
18-Aug-2026,25600,60244,22647,60.236189057637574,291368,14.18,1.0,2256020,281580,36,2,5.882352941176471,8,30.94,1185.85,5070,4550
18-Aug-2026,25650,14706,5942,67.8000912825194,50024,14.54,0.9,584675,31330,8,8,0.0,8,19.02,1178.3,3380,4420
18-Aug-2026,25700,54180,21130,63.933434190620275,192047,14.98,0.85,1847755,567320,16,0,0.0,0,20.28,0.0,4160,5200
18-Aug-2026,25750,14257,9049,173.75192012288787,45509,15.51,0.85,571480,28990,0,0,0.0,0,0.0,0.0,5330,5070
18-Aug-2026,25800,53023,13205,33.163393440152696,136335,15.93,0.8,1972425,237250,13,1,8.333333333333334,1,43.37,1450.0,4290,5200
18-Aug-2026,25850,12068,8946,286.5470852017937,42043,16.45,0.8,735345,98410,4,0,0.0,0,0.0,0.0,6305,5200
18-Aug-2026,25900,46686,19560,72.1079407210794,152414,16.96,0.8,1972295,259935,9,0,0.0,0,0.0,0.0,4940,4420
18-Aug-2026,25950,6587,3312,101.12977099236642,25693,17.48,0.8,490360,15535,0,0,0.0,0,0.0,0.0,5265,5070
18-Aug-2026,26000,99404,28018,39.24859216092791,289617,18.1,0.85,3057860,233480,2144,27,1.2753897024090695,58,31.25,1550.4,5135,5265
18-Aug-2026,26050,4038,549,15.735167669819432,18672,18.37,0.75,466700,15080,0,0,0.0,0,0.0,0.0,5330,5070
18-Aug-2026,26100,15703,-1240,-7.318656672372071,58896,18.87,0.75,1709240,44525,2,0,0.0,0,0.0,0.0,4940,5200
18-Aug-2026,26150,2348,298,14.536585365853659,17800,19.51,0.8,177970,25675,0,0,0.0,0,0.0,0.0,4940,5070
18-Aug-2026,26200,3988,-2413,-37.6972348070614,37674,19.87,0.75,812370,18720,1,0,0.0,0,0.0,0.0,4940,5070
18-Aug-2026,26250,798,-972,-54.91525423728814,15503,20.08,0.65,371085,12545,0,0,0.0,0,0.0,0.0,4160,5070
18-Aug-2026,26300,1403,639,83.63874345549738,10941,20.4,0.6,390910,15925,0,0,0.0,0,0.0,0.0,4940,5070
18-Aug-2026,26350,390,181,86.60287081339713,3926,20.88,0.6,33410,15990,0,0,0.0,0,0.0,0.0,4940,5070
18-Aug-2026,26400,1027,-9,-0.8687258687258688,9095,21.85,0.75,238095,64155,0,0,0.0,0,0.0,0.0,4160,4290
18-Aug-2026,26450,427,-168,-28.235294117647058,2189,21.66,0.55,49010,19175,0,0,0.0,0,0.0,0.0,4940,5070
18-Aug-2026,26500,4151,2185,111.13936927772126,21857,22.13,0.55,1740050,72865,15,0,0.0,0,0.0,0.0,4160,4290
18-Aug-2026,26550,187,98,110.11235955056179,2186,22.61,0.55,55965,20215,0,0,0.0,0,0.0,0.0,4160,4290
18-Aug-2026,26600,755,583,338.95348837209303,3148,23.08,0.55,198445,29120,0,0,0.0,0,0.0,0.0,4160,4290
18-Aug-2026,26650,304,156,105.4054054054054,1231,23.55,0.55,64350,23270,0,0,0.0,0,0.0,0.0,4160,4290
18-Aug-2026,26700,453,55,13.819095477386934,1592,23.8,0.5,243750,13585,0,0,0.0,0,0.0,0.0,4940,5070
18-Aug-2026,26750,145,120,480.0,612,24.48,0.55,46410,17875,0,0,0.0,0,0.0,0.0,4940,5070
18-Aug-2026,26800,952,36,3.930131004366812,2279,24.72,0.5,323050,22815,0,0,0.0,0,0.0,0.0,4940,5070
18-Aug-2026,26850,628,361,135.20599250936328,2344,25.18,0.5,54275,21905,0,0,0.0,0,0.0,0.0,4940,5070
18-Aug-2026,26900,2188,1954,835.042735042735,6301,25.63,0.5,502515,94185,0,0,0.0,0,0.0,0.0,4160,4290
18-Aug-2026,26950,719,713,11883.333333333334,3932,25.84,0.45,43420,41600,0,0,0.0,0,0.0,0.0,4940,5070
18-Aug-2026,27000,6015,-834,-12.176960140166448,45222,26.29,0.45,2163785,236990,8,8,0.0,8,65.11,2646.0,4940,5265
18-Aug-2026,27050,342,332,3320.0,1315,26.74,0.45,39325,30290,0,0,0.0,0,0.0,0.0,3380,4290
18-Aug-2026,27100,797,734,1165.079365079365,8331,26.9,0.4,458900,35490,0,0,0.0,0,0.0,0.0,4160,4290
18-Aug-2026,27150,901,817,972.6190476190476,3517,27.63,0.45,226850,48425,0,0,0.0,0,0.0,0.0,4160,4290
18-Aug-2026,27200,3796,1588,71.92028985507247,21725,28.07,0.45,1148160,132925,0,0,0.0,0,0.0,0.0,4940,5070
