entry_date,exit_date,reason_code,orig_net,corr_net,orig_exit_reason,corr_exit_reason,orig_lot,corr_lot,orig_gross,corr_gross,orig_slippage,corr_slippage
2024-01-18,2024-01-23,STOP_LOSS_CORRECTION,-16181.22,-9129.8,EXIT_HORIZON,EXIT_STOP,75,50,-15862.5,-8865.0,238.72,184.8
2024-03-26,2024-03-28,LOT_SIZE_CORRECTION,12600.94,8373.96,EXIT_HORIZON,EXIT_EXPIRY,75,50,13218.75,8812.5,537.81,358.54
2024-04-15,2024-04-16,STOP_LOSS_CORRECTION,-11065.51,-5512.47,EXIT_HORIZON,EXIT_STOP,75,50,-10822.5,-5295.0,163.01,137.47
2024-04-16,2024-04-18,STOP_LOSS_CORRECTION,-6422.34,-4308.22,EXIT_HORIZON,EXIT_STOP,75,50,-6247.5,-4165.0,94.84,63.22
2024-04-19,2024-04-25,LOT_SIZE_CORRECTION,20643.16,13735.44,EXIT_HORIZON,EXIT_EXPIRY,75,50,21378.75,14252.5,655.59,437.06
2024-06-24,2024-06-27,LOT_SIZE_CORRECTION,27512.26,9117.42,EXIT_HORIZON,EXIT_EXPIRY,75,25,28271.25,9423.75,678.99,226.33
2024-07-25,2024-08-01,LOT_SIZE_CORRECTION,32719.13,10853.04,EXIT_HORIZON,EXIT_EXPIRY,75,25,33663.75,11221.25,864.62,288.21
2024-08-02,2024-08-05,STOP_LOSS_CORRECTION,-10920.42,-3273.62,EXIT_HORIZON,EXIT_STOP,75,25,-10680.0,-3133.75,160.42,59.87
2024-08-05,2024-08-08,STOP_LOSS_CORRECTION,-11089.46,-3749.82,EXIT_HORIZON,EXIT_STOP,75,25,-10668.75,-3556.25,340.71,113.57
2024-10-03,2024-10-04,STOP_LOSS_CORRECTION,-17996.36,-3823.56,EXIT_HORIZON,EXIT_STOP,75,25,-17651.25,-3621.25,265.11,122.31
2024-12-19,2024-12-20,STOP_LOSS_CORRECTION,-18452.99,-4542.14,EXIT_HORIZON,EXIT_STOP,75,25,-18101.25,-4346.25,271.74,115.89
2025-01-13,2025-01-16,REASON_LABEL_ONLY,3687.83,3687.83,EXIT_HORIZON,EXIT_EXPIRY,75,75,4166.25,4166.25,398.42,398.42
2025-01-27,2025-01-30,LOT_SIZE_CORRECTION,16899.89,5579.96,EXIT_HORIZON,EXIT_EXPIRY,75,25,17587.5,5862.5,607.61,202.54
2025-02-03,2025-02-06,REASON_LABEL_ONLY,7872.12,7872.12,EXIT_HORIZON,EXIT_EXPIRY,75,75,8381.25,8381.25,429.13,429.13
2025-02-17,2025-02-19,STOP_LOSS_CORRECTION,-13265.75,-7673.41,EXIT_HORIZON,EXIT_STOP,75,75,-12990.0,-7312.5,195.75,280.91
2025-02-24,2025-02-27,STOP_LOSS_CORRECTION,-10594.01,-10594.01,EXIT_HORIZON,EXIT_STOP,75,75,-10353.75,-10353.75,160.26,160.26
2025-03-04,2025-03-06,REASON_LABEL_ONLY,26300.01,26300.01,EXIT_HORIZON,EXIT_EXPIRY,75,75,26977.5,26977.5,597.49,597.49
2025-03-11,2025-03-13,STOP_LOSS_CORRECTION,-8001.14,-8001.14,EXIT_HORIZON,EXIT_STOP,75,75,-7803.75,-7803.75,117.39,117.39
2025-04-01,2025-04-03,REASON_LABEL_ONLY,-2887.89,-2887.89,EXIT_HORIZON,EXIT_EXPIRY,75,75,-2542.5,-2542.5,265.39,265.39
2025-04-03,2025-04-04,STOP_LOSS_CORRECTION,-11871.99,-10501.61,EXIT_HORIZON,EXIT_STOP,75,75,-11617.5,-10226.25,174.49,195.36
2025-04-07,2025-04-09,REASON_LABEL_ONLY,-6407.17,-6407.17,EXIT_HORIZON,EXIT_EXPIRY,75,75,-5681.25,-5681.25,645.92,645.92
2025-05-09,2025-05-15,REASON_LABEL_ONLY,61605.51,61605.51,EXIT_HORIZON,EXIT_EXPIRY,75,75,63142.5,63142.5,1456.99,1456.99
2025-06-13,2025-06-19,REASON_LABEL_ONLY,-5541.86,-5541.86,EXIT_HORIZON,EXIT_EXPIRY,75,75,-5156.25,-5156.25,305.61,305.61
2025-06-23,2025-06-26,REASON_LABEL_ONLY,31691.33,31691.33,EXIT_HORIZON,EXIT_EXPIRY,75,75,32628.75,32628.75,857.42,857.42
2025-07-31,2025-08-01,STOP_LOSS_CORRECTION,-13969.46,-8236.76,EXIT_HORIZON,EXIT_STOP,75,75,-13683.75,-7863.75,205.71,293.01
2026-01-30,2026-02-02,STOP_LOSS_CORRECTION,14809.6,-13233.85,EXIT_HORIZON,EXIT_STOP,75,65,15615.0,-12922.0,725.4,231.85
2026-02-13,2026-02-17,LOT_SIZE_CORRECTION,9784.07,8468.87,EXIT_HORIZON,EXIT_EXPIRY,75,65,10335.0,8957.0,470.93,408.13
2026-03-02,2026-03-06,STOP_LOSS_CORRECTION,-21836.75,-14335.65,EXIT_HORIZON,EXIT_STOP,75,65,-21435.0,-13906.75,321.75,348.9
2026-03-04,2026-03-09,STOP_LOSS_CORRECTION,-23812.42,-18224.75,EXIT_HORIZON,EXIT_STOP,75,65,-23381.25,-17803.5,351.17,341.25
2026-03-12,2026-03-13,STOP_LOSS_CORRECTION,-19911.03,-13082.86,EXIT_HORIZON,EXIT_STOP,75,65,-19533.75,-12681.5,297.28,321.36
2026-03-13,2026-03-17,LOT_SIZE_CORRECTION,13814.31,11961.74,EXIT_HORIZON,EXIT_EXPIRY,75,65,14670.0,12714.0,775.69,672.26
2026-03-19,2026-03-23,STOP_LOSS_CORRECTION,-20650.55,-15305.19,EXIT_HORIZON,EXIT_STOP,75,65,-20265.0,-14920.75,305.55,304.44
2026-04-07,2026-04-13,LOT_SIZE_CORRECTION,28829.33,24974.75,EXIT_HORIZON,EXIT_EXPIRY,75,65,30131.25,26113.75,1221.92,1059.0
2026-04-13,2026-04-21,LOT_SIZE_CORRECTION,31010.61,26865.2,EXIT_HORIZON,EXIT_EXPIRY,75,65,32242.5,27943.5,1151.89,998.3
2026-04-23,2026-04-24,STOP_LOSS_CORRECTION,-14806.72,-7493.87,EXIT_HORIZON,EXIT_STOP,75,65,-14508.75,-7143.5,217.97,270.37
2026-04-30,2026-05-05,STOP_LOSS_CORRECTION,-14160.01,-12282.68,EXIT_HORIZON,EXIT_STOP,75,65,-13822.5,-11979.5,257.51,223.18
2026-05-20,2026-05-26,LOT_SIZE_CORRECTION,3271.09,2824.28,EXIT_HORIZON,EXIT_EXPIRY,75,65,3881.25,3363.75,530.16,459.47
2026-06-02,2026-06-05,STOP_LOSS_CORRECTION,-17234.99,-8455.53,EXIT_HORIZON,EXIT_STOP,75,65,-16901.25,-8056.75,253.74,318.78
2026-06-04,2026-06-08,STOP_LOSS_CORRECTION,-15206.38,-11992.26,EXIT_HORIZON,EXIT_STOP,75,65,-14902.5,-11700.0,223.88,212.26
2026-06-19,2026-06-23,STOP_LOSS_CORRECTION,-9036.89,-7842.64,EXIT_HORIZON,EXIT_STOP,75,65,-8823.75,-7647.25,133.14,115.39
2026-07-08,2026-07-14,LOT_SIZE_CORRECTION,-1968.07,-1716.33,EXIT_HORIZON,EXIT_EXPIRY,75,65,-1511.25,-1309.75,376.82,326.58
2026-07-14,2026-07-21,LOT_SIZE_CORRECTION,-1375.44,-1202.71,EXIT_HORIZON,EXIT_EXPIRY,75,65,-967.5,-838.5,327.94,284.21
2026-07-24,2026-07-28,LOT_SIZE_CORRECTION,5207.12,4502.18,EXIT_HORIZON,EXIT_EXPIRY,75,65,5700.0,4940.0,412.88,357.82
