Strategy,Params,Hold,Trades,PnL,WinRate%,ProfitFactor,AvgRet%,MaxDD%,Sharpe,CAGR%
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 0, 'use_adx': False}",1,107,-53775.3,41.1,0.87,-2.03,-94.62,-0.84,-35.12
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 0, 'use_adx': False}",2,91,-154463.41,33.0,0.72,-6.8,-189.78,-2.03,0.0
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 0, 'use_adx': False}",3,76,-135877.87,35.5,0.74,-7.18,-157.99,-1.81,0.0
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 0, 'use_adx': False}",5,58,-251122.38,29.3,0.58,-17.36,-314.25,-3.11,0.0
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 0, 'use_adx': False}",7,44,-188380.94,31.8,0.6,-17.26,-202.38,-3.0,0.0
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 0, 'use_adx': False}",10,36,-56883.2,27.8,0.87,-6.44,-77.01,-0.89,-37.6
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 20, 'use_adx': True}",1,66,18799.24,47.0,1.08,1.14,-87.29,0.4,11.03
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 20, 'use_adx': True}",2,57,-19683.69,35.1,0.94,-1.35,-151.56,-0.36,-12.44
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 20, 'use_adx': True}",3,49,-128520.46,34.7,0.61,-10.52,-127.71,-3.18,0.0
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 20, 'use_adx': True}",5,37,-166874.61,32.4,0.51,-18.15,-236.98,-3.96,0.0
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 20, 'use_adx': True}",7,28,-119283.11,28.6,0.61,-17.13,-199.46,-2.68,0.0
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 20, 'use_adx': True}",10,25,-138706.85,16.0,0.63,-22.28,-195.71,-2.48,0.0
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 25, 'use_adx': True}",1,33,94235.9,54.5,2.01,11.48,-24.7,3.56,56.77
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 25, 'use_adx': True}",2,30,603.96,40.0,1.0,0.14,-65.18,-0.0,0.41
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 25, 'use_adx': True}",3,26,97676.19,46.2,1.63,15.1,-45.72,2.78,57.84
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 25, 'use_adx': True}",5,20,-81741.43,30.0,0.56,-16.4,-133.67,-3.7,-68.05
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 25, 'use_adx': True}",7,17,-42915.42,35.3,0.73,-10.14,-136.45,-1.64,-31.35
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 25, 'use_adx': True}",10,14,-25873.95,28.6,0.83,-7.65,-93.49,-1.01,-17.82
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 30, 'use_adx': True}",1,20,9858.2,50.0,1.17,2.0,-29.08,0.78,6.57
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 30, 'use_adx': True}",2,16,-86743.08,31.2,0.25,-21.69,-95.63,-8.65,-74.68
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 30, 'use_adx': True}",3,15,-70818.94,26.7,0.34,-18.9,-74.61,-7.04,-56.64
trend_sma,"{'fast': 5, 'slow': 20, 'adx_thresh': 30, 'use_adx': True}",5,11,-40236.42,36.4,0.48,-14.63,-63.8,-4.34,-29.3
